"Date","Income","Deductions","Goal",,,,,
05/21/19,0,20,3000,,,,,
05/22/19,0,0,3000,,,,,
05/23/19,232,0,3000,,,,,
05/24/19,232,0,3000,,,,,
05/25/19,232,0,3000,,,,,
05/26/19,232,0,3000,,,,,
05/27/19,232,0,3000,,,,,
05/28/19,0,0,3000,,,,,
05/29/19,0,0,3000,,,,,
05/30/19,232,0,3000,,,,,
05/31/19,232,367,3000,,,,,
06/01/19,232,,3000,,,,,
06/02/19,232,,3000,,,,,
06/03/19,232,,3000,,,,,
06/04/19,0,,3000,,,,,
06/05/19,0,,3000,,,,,
06/06/19,232,,3000,,,,,
06/07/19,232,,3000,,,,,
06/08/19,232,,3000,,,,,
06/09/19,232,,3000,,,,,
06/10/19,232,,3000,,,,,
06/11/19,0,,3000,,,,,
06/12/19,0,,3000,,,,,
06/13/19,232,,3000,,,,,
06/14/19,232,,3000,,,,,
06/15/19,232,,3000,,,,,
06/16/19,232,,3000,,,,,
06/17/19,232,,3000,,,,,
06/18/19,0,,3000,,,,,
06/19/19,0,,3000,,,,,
06/20/19,232,,3000,,,,,
06/21/19,232,,3000,,,,,
06/22/19,232,,3000,,,,,
06/23/19,232,,3000,,,,,
06/24/19,232,,3000,,,,,
06/25/19,0,,3000,,,,,
06/26/19,0,,3000,,,,,
06/27/19,232,,3000,,,,,
06/28/19,232,,3000,,,,,
06/29/19,232,,3000,,,,,
06/30/19,232,,3000,,,,,
07/01/19,232,,3000,,,,,
07/02/19,0,,3000,,,,,
07/03/19,0,,3000,,,,,
,6960,,3000,,,,,118.75
